true_label,predicted_label,reconstruction_error,phase1_anomaly
normal,normal,0.003037800874028155,0
dos,dos,3.409231127036153,0
normal,normal,0.0018021840855802548,0
dos,dos,0.4096271136798473,0
dos,dos,1.5184296760285685,0
r2l,probe,0.11451936057758287,0
normal,normal,0.002459017655345128,0
dos,dos,11.881498296382107,0
probe,ZERO-DAY,709.8139177409116,1
dos,dos,2.340070281689059,0
normal,normal,0.3696091172076379,0
normal,normal,0.011707619725063928,0
r2l,normal,0.31046505218173726,0
dos,dos,2.747949227497356,0
normal,normal,0.004444119720354756,0
normal,normal,0.02063696549638862,0
normal,normal,0.01760306690818828,0
normal,normal,0.008899634408748806,0
dos,normal,5.433532141854729,0
normal,normal,0.0010093097151747431,0
dos,normal,0.5062981202224205,0
normal,normal,0.012557673281444914,0
dos,dos,2.576961039658307,0
r2l,probe,0.1142662775118739,0
probe,ZERO-DAY,464.56672243181407,1
normal,normal,0.0011603826388150368,0
normal,normal,0.00286530341258325,0
normal,normal,0.022142543206482877,0
dos,dos,2.425872756776947,0
dos,dos,2.8712428373084564,0
dos,normal,4.310182483759749,0
probe,probe,0.48998903397684285,0
probe,dos,1.7787353903559515,0
dos,dos,2.366653306633508,0
normal,normal,0.0019768551370574375,0
dos,normal,0.49716228988140093,0
r2l,r2l,1.3682717312194992,0
dos,dos,3.255215607636386,0
dos,dos,0.20975653411249864,0
dos,normal,0.009533178744849867,0
normal,normal,0.001859608674785146,0
dos,dos,2.8450017983018174,0
dos,normal,0.5746404191982399,0
dos,dos,1.5344168949534698,0
dos,dos,1.3590483255658306,0
dos,dos,3.209741954090143,0
dos,dos,2.925982489596508,0
dos,dos,1.5912665285271743,0
probe,probe,3.109342412729744,0
dos,dos,4.150140119078167,0
r2l,normal,0.12385787174969426,0
dos,ZERO-DAY,461.2689777624437,1
dos,dos,3.32891180926631,0
r2l,normal,0.12384954198677757,0
normal,normal,0.0023529877306790845,0
dos,dos,3.148138536920254,0
dos,normal,0.5033739550434505,0
normal,normal,0.013987378378956595,0
dos,dos,2.8051553853188387,0
dos,dos,2.849420859408268,0
dos,normal,4.310715526501893,0
normal,normal,0.004481641897400594,0
probe,probe,4.266373498728375,0
probe,probe,3.000710168493907,0
r2l,normal,0.3108365350614159,0
normal,normal,0.024591295923054975,0
dos,dos,1.3200143060004335,0
normal,normal,0.01701821800355329,0
normal,normal,0.06035380274943277,0
normal,normal,0.0018570044094125564,0
normal,normal,0.010454184276452819,0
r2l,normal,3.154104929667165,0
dos,probe,2.5189573738546343,0
dos,dos,1.3241755910511002,0
normal,normal,0.011259797135129724,0
dos,dos,2.3037154792966232,0
normal,normal,0.002653432287021094,0
dos,normal,0.5017100220868724,0
dos,dos,4.294685044088243,0
normal,normal,0.024691527856122896,0
normal,normal,0.002281870593861412,0
normal,normal,0.03431266072991151,0
normal,normal,0.12244629443934286,0
r2l,normal,0.12243158823071061,0
dos,dos,1.3444389546328466,0
r2l,normal,0.11427054292439749,0
probe,normal,1.4045030043200406,0
normal,normal,0.0022175027205607093,0
dos,normal,0.4633167760543126,0
normal,normal,0.0017725629646703491,0
normal,normal,0.002386920817839186,0
probe,probe,3.006980428889976,0
dos,dos,1.3296751806697038,0
dos,normal,5.433532141854729,0
normal,normal,0.0018851690708164262,0
normal,normal,0.0013126413533361794,0
dos,normal,4.309371399136772,0
r2l,normal,0.011963805019981026,0
normal,normal,0.00275983679994295,0
normal,normal,0.0021106152289680747,0
normal,normal,0.1142662877775289,0
dos,dos,0.12032564403451229,0
normal,normal,0.0034984126249390604,0
normal,normal,0.09876905620389831,0
normal,normal,0.0013552684314663591,0
r2l,probe,0.1142910900942657,0
normal,normal,0.0015280358721606168,0
normal,normal,0.002363721633467789,0
normal,normal,1.727758298044401,0
dos,dos,2.625083731576511,0
normal,normal,0.0010665906058900535,0
dos,dos,0.004149317817337675,0
normal,normal,0.007239056732338757,0
dos,dos,3.046994101179907,0
normal,normal,0.010141712968274546,0
normal,normal,0.009757887040355928,0
normal,normal,2.237950663391747,0
probe,normal,0.27817746080124317,0
r2l,normal,0.011963805019981026,0
normal,normal,0.014017038753549836,0
dos,dos,2.2410755643329066,0
dos,dos,0.20975653411249864,0
dos,normal,0.31346194374465486,0
normal,normal,2.217051670533528,0
dos,normal,4.416573034291975,0
probe,normal,0.5913155172066307,0
normal,normal,0.024577815614998597,0
normal,normal,0.01685589684406718,0
dos,normal,0.3083687799623304,0
dos,dos,2.3065231797624275,0
dos,dos,2.9459689098668345,0
normal,normal,0.002424672572778682,0
r2l,normal,0.12385790855383826,0
dos,dos,3.3960677731153304,0
dos,dos,1.6997034877639436,0
normal,normal,0.0029732890720965033,0
normal,normal,0.024583578472348114,0
normal,normal,0.024583766119059654,0
r2l,normal,3.1541047980319026,0
normal,normal,0.060421160447321653,0
dos,dos,3.128295765972833,0
probe,probe,3.436798078692908,0
probe,dos,1.7969629930294249,0
normal,normal,0.001122185403271367,0
r2l,normal,0.12384941329104764,0
normal,normal,0.0027348421151992164,0
normal,normal,0.001801173680246123,0
r2l,normal,0.011963805019981026,0
normal,normal,0.0010517141911287862,0
dos,dos,2.7141692230797134,0
dos,dos,2.8007248505930846,0
dos,dos,3.6528418108580945,0
r2l,normal,0.12243158823071061,0
normal,normal,0.05089744636178218,0
normal,normal,0.0030377802213542686,0
probe,probe,0.22035842886521181,0
dos,dos,1.2562009872317348,0
normal,normal,0.0019041015304933336,0
dos,dos,3.236795670362104,0
probe,probe,5.883742480117363,0
dos,dos,2.3164358201714603,0
normal,normal,2.2274582899125526,0
probe,normal,3.190422613310472,0
normal,normal,0.002609506144224846,0
dos,dos,3.78567851370612,0
dos,dos,2.556785568928743,0
normal,normal,0.11914681658269759,0
r2l,normal,0.014180305569510769,0
r2l,normal,0.011963805019981026,0
probe,ZERO-DAY,461.64250460131984,1
dos,dos,4.40730372846866,0
normal,normal,0.01213749715673957,0
r2l,normal,0.12385812425163985,0
dos,dos,2.730333498208051,0
normal,normal,0.0018158979308688565,0
dos,normal,5.433532141854729,0
normal,normal,0.0026267129567174464,0
u2r,probe,0.8863327462632288,0
probe,normal,8.983805171082109,0
normal,normal,0.009478139629216899,0
normal,normal,0.001098053391280427,0
normal,normal,2.2379505662749803,0
probe,dos,0.7131493428714171,0
normal,normal,0.004348191776922713,0
dos,dos,1.5502713469127796,0
normal,normal,0.002960158919508824,0
dos,dos,2.6475819102501474,0
dos,dos,7.824888279297224,0
normal,normal,0.11427054292439749,0
r2l,normal,3.15410457083196,0
normal,normal,1.660171729803294,0
normal,normal,0.0013221111188635422,0
probe,probe,3.4297061531870985,0
r2l,normal,0.12386655478153037,0
dos,dos,2.695077357791796,0
dos,dos,6.8404697171846545,0
probe,probe,3.4511977662783337,0
normal,normal,0.0039018346546283353,0
normal,normal,2.2309461889900333,0
normal,normal,0.002074039149269225,0
normal,normal,0.011659417123812568,0
dos,dos,2.5856108388463497,0
r2l,normal,3.1541053426074392,0
normal,normal,0.0024059849667622023,0
dos,dos,2.238445185374244,0
normal,normal,0.00261058456869148,0
normal,normal,0.0036321192796873944,0
normal,normal,0.024576133335124484,0
normal,normal,0.002840166876556,0
dos,dos,2.3312760594688604,0
normal,normal,0.003532143863113742,0
r2l,normal,0.014066303694776015,0
dos,dos,0.5366367951787716,0
r2l,normal,0.3108365101359531,0
probe,ZERO-DAY,464.26379902581834,1
dos,dos,2.7891067154324745,0
dos,dos,1.3455660765201023,0
normal,normal,5.03954156043316,0
dos,dos,2.612780117729566,0
normal,normal,0.10857668892006456,0
dos,dos,1.1180321429376419,0
normal,normal,0.0021965520977499675,0
normal,normal,0.0011881118831673363,0
normal,normal,2.2379493140432007,0
dos,dos,2.7073248394649845,0
probe,probe,2.4196897431062383,0
probe,dos,4.250516211114636,0
dos,dos,0.3029750184630062,0
normal,normal,0.0018521220344408524,0
normal,normal,0.010078200044578321,0
dos,dos,0.002747019549885861,0
probe,probe,0.6627787348263728,0
probe,normal,0.7241166468270789,0
probe,probe,3.0898573624768253,0
dos,normal,0.5097652486613299,0
normal,normal,0.01664677457704648,0
dos,dos,1.7065193043507139,0
dos,dos,2.420159992877043,0
r2l,normal,3.403439202891448,0
normal,normal,0.0017650079968237456,0
normal,normal,0.003079879225807961,0
r2l,normal,3.154103614187042,0
normal,normal,0.0016787184500060368,0
normal,normal,0.015075542730051123,0
normal,normal,2.237950260192814,0
dos,dos,1.286012613914452,0
normal,normal,0.017397197616498782,0
normal,normal,0.002868722249028294,0
dos,dos,2.238792903535439,0
normal,normal,0.0032742460798007547,0
normal,normal,0.0010648112826913128,0
normal,normal,0.009737825263039982,0
normal,normal,2.237950680112333,0
probe,probe,3.2965617518153016,0
normal,normal,0.005735227253415236,0
r2l,probe,0.11426630372046058,0
normal,normal,0.02060677812442883,0
dos,dos,2.7632244349950423,0
dos,dos,0.004109184943197345,0
normal,normal,0.1142662877775289,0
normal,normal,0.0013516238150935304,0
dos,dos,2.291524777057594,0
r2l,normal,0.31046519162942604,0
r2l,normal,3.154105070664331,0
dos,dos,2.7134611954716803,0
normal,normal,0.002790927532566915,0
normal,normal,0.0016326002918592207,0
dos,normal,0.5798272904882463,0
dos,dos,3.022328613329081,0
dos,normal,5.433530179893193,0
normal,normal,1.2969851558162377,0
normal,normal,0.010816119269981675,0
dos,dos,2.966327588418127,0
normal,normal,0.009737653074467957,0
normal,normal,0.013297348843178127,0
normal,normal,0.12244501422532827,0
dos,normal,0.8324438334752964,0
normal,normal,0.0029685836065929763,0
dos,dos,2.8940696846885605,0
probe,probe,2.926635855647398,0
normal,normal,0.002166112292440906,0
normal,normal,0.004721569880507217,0
dos,dos,0.0847463436643901,0
normal,normal,0.0036819030861406344,0
normal,normal,0.00187033656709733,0
normal,normal,2.2344440689974996,0
dos,dos,3.0958517490578186,0
normal,normal,0.006181660892179721,0
r2l,normal,3.154114853753505,0
dos,dos,1.3347098939408257,0
normal,normal,0.005785150694377096,0
dos,dos,1.4891208927668078,0
normal,normal,0.002124648863557652,0
r2l,normal,0.1142662877775289,0
dos,normal,0.5160200764373477,0
dos,dos,3.039064511224941,0
normal,normal,0.001775683762438961,0
dos,dos,2.0634968335303867,0
normal,normal,2.2379507496771893,0
probe,probe,3.4511977662783337,0
normal,normal,0.0018899208917059357,0
normal,normal,0.002899872085626646,0
dos,dos,0.0021315524392034593,0
dos,dos,1.4367376540508732,0
dos,normal,0.011934089558482,0
normal,normal,0.009738218816484808,0
dos,dos,1.4069532041700012,0
normal,normal,0.0013763515545974579,0
normal,normal,0.0016679014379274975,0
dos,dos,2.286897475011014,0
normal,normal,0.004320015378189144,0
normal,normal,0.011939117224220126,0
probe,normal,9.442593573179494,0
normal,probe,4.917404493712021,0
dos,dos,2.7407994128644066,0
r2l,normal,0.1695121874075547,0
dos,dos,4.299199851933846,0
normal,normal,0.0015391068249669502,0
dos,normal,0.009533178744849867,0
normal,dos,0.38685277519677147,0
probe,dos,9.671365959426405,0
normal,normal,0.015615302932666523,0
normal,normal,0.002344090737512483,0
probe,probe,4.625452411027293,0
normal,normal,0.2198026172821017,0
r2l,normal,3.1541047980319026,0
normal,normal,0.00187454521491112,0
normal,normal,0.001168414117944057,0
normal,normal,0.0015064801883631314,0
normal,normal,0.002808829224832147,0
dos,dos,0.34222428162310137,0
normal,normal,0.0021224092667750756,0
normal,probe,0.009734574342447488,0
normal,normal,0.0065037484790310225,0
r2l,normal,0.11427056891657916,0
dos,dos,1.4026238875228223,0
r2l,normal,0.31045290522588004,0
dos,normal,4.436240839355629,0
dos,dos,2.6929438687119975,0
normal,probe,0.22956677878422302,0
normal,normal,0.016457346141285988,0
normal,normal,0.00175717518352148,0
probe,probe,3.436798152586226,0
probe,ZERO-DAY,709.8139177409116,1
probe,probe,0.6588038723195501,0
dos,normal,0.5100815539339522,0
normal,normal,0.004655151267759022,0
dos,ZERO-DAY,460.7280653950222,1
normal,normal,0.0014045720225410497,0
normal,normal,0.0011438419703201988,0
dos,dos,2.1238594227748355,0
probe,probe,3.4297061531870985,0
normal,normal,0.002378780275173661,0
normal,normal,0.0030328087802104224,0
normal,normal,0.002078427227265706,0
normal,normal,1.6689242406972278,0
dos,dos,2.7745886849153183,0
u2r,probe,0.8863327462632288,0
r2l,normal,3.15410326132159,0
dos,dos,0.0027154917738170157,0
normal,normal,0.0015044817571498892,0
normal,normal,0.0028462294938945906,0
normal,probe,6.893762628727721,0
normal,normal,2.2379505662749803,0
dos,normal,0.47937054574366383,0
normal,normal,0.019688618654597066,0
normal,normal,0.00260883699632914,0
r2l,normal,0.014180305569510769,0
probe,normal,0.4956167790271992,0
normal,normal,0.0010869313174480548,0
dos,dos,3.666227533082937,0
probe,probe,0.6787017265938226,0
dos,normal,0.5581432016145351,0
normal,normal,0.0024452249060695447,0
dos,dos,4.470794963819141,0
normal,normal,0.013766560444580406,0
normal,normal,0.002261019633094385,0
normal,normal,0.0027836571868465397,0
dos,dos,2.401810048226471,0
probe,dos,9.671365959426405,0
dos,dos,2.337167659626978,0
normal,probe,0.45316838374380786,0
probe,probe,0.4960306021783208,0
normal,normal,0.010061873574402655,0
dos,dos,1.2109486323424088,0
normal,normal,0.02208313593679924,0
normal,probe,0.3716141312778853,0
dos,dos,2.9464832177245204,0
dos,normal,0.5075561948169649,0
dos,ZERO-DAY,456.34120604881076,1
dos,dos,0.0027730864605954083,0
dos,dos,3.2684078133352448,0
normal,normal,0.0034889929553977204,0
r2l,normal,0.31046519162942604,0
dos,dos,2.137495750755936,0
r2l,normal,0.11427056891657916,0
normal,normal,0.0027754206679901842,0
normal,normal,0.003061686259679663,0
probe,probe,0.6806652831256494,0
r2l,probe,0.11426630463389222,0
dos,dos,0.41382526091520616,0
dos,dos,0.561931668247618,0
probe,probe,0.49338419610552786,0
dos,normal,4.311369835898005,0
normal,normal,0.0045072759635326415,0
dos,dos,2.78535132662375,0
dos,dos,1.2441312095683985,0
normal,normal,0.019157231123366404,0
normal,normal,0.002086913041714182,0
normal,normal,0.3563603559803646,0
r2l,normal,0.014066303694776015,0
probe,probe,0.5649558664888327,0
dos,dos,2.946477717859233,0
normal,normal,0.0010361604498706296,0
r2l,normal,3.154104557806835,0
normal,normal,0.02458230541035622,0
probe,probe,5.883742480117363,0
dos,normal,0.10146062772776038,0
dos,dos,0.3024701912648304,0
normal,normal,0.011847076199259817,0
r2l,normal,0.12390980153383768,0
dos,dos,2.4283672238161227,0
normal,normal,0.002667416359266194,0
normal,normal,0.004744260055462955,0
normal,normal,0.01673946893118119,0
normal,normal,0.0028449137393249543,0
normal,normal,0.0026382789052839238,0
dos,dos,3.453687401351863,0
normal,normal,0.012454791145692664,0
normal,normal,0.0010407946523710151,0
normal,normal,0.008464221548670863,0
r2l,normal,3.154105070664331,0
normal,normal,0.0097394257534898,0
dos,dos,2.7633350303435695,0
probe,probe,0.6091862471179345,0
normal,normal,0.002131107236184769,0
normal,normal,0.0030447176608765936,0
dos,dos,2.762669153241703,0
dos,normal,4.47396991168804,0
normal,normal,0.0033341026866366016,0
normal,normal,0.0013942563458535983,0
normal,normal,2.230945865274076,0
normal,normal,0.00593850058706327,0
dos,dos,2.5225400086531393,0
normal,normal,0.002631902434836001,0
normal,normal,0.011944323871924215,0
normal,normal,0.0017127988654099507,0
normal,normal,0.003293486833614951,0
dos,dos,1.1691185642736845,0
dos,dos,1.0308243919211708,0
probe,normal,9.634838219932304,0
dos,dos,2.9481862344516876,0
normal,normal,0.0014858884503145037,0
normal,normal,0.02510918495623522,0
dos,dos,11.881498296382107,0
normal,probe,0.6768953051883903,0
normal,normal,0.0011105237732833286,0
normal,normal,0.0014832514091900374,0
normal,normal,0.24068332441506524,0
normal,normal,0.0011013608869606052,0
r2l,normal,0.11427055833514355,0
normal,normal,0.001935326804055221,0
dos,dos,0.306072432958236,0
normal,normal,0.002145783601703626,0
normal,normal,0.0024968252408506496,0
normal,normal,0.0044192277432045,0
dos,dos,0.08531692979518522,0
normal,normal,0.0021369027096498163,0
dos,normal,4.445618575280858,0
dos,dos,1.6105067073209796,0
r2l,normal,0.011963805019981026,0
normal,normal,0.0010229636228048502,0
r2l,normal,0.3108365350614159,0
r2l,normal,0.12243158823071061,0
dos,dos,2.5908380845743637,0
r2l,probe,0.11464681721261434,0
dos,dos,11.881496243515969,0
u2r,probe,0.8863327462632288,0
normal,normal,0.0018697855031779762,0
dos,normal,4.309715569405554,0
normal,probe,0.5931386368773578,0
normal,normal,0.04376646317553782,0
normal,normal,0.00973671435034318,0
dos,dos,3.42550609416508,0
normal,ZERO-DAY,37.633381571798246,1
probe,probe,2.227628040684875,0
dos,normal,0.009533178744849867,0
dos,dos,3.4893614884605433,0
normal,normal,0.002808592296154582,0
dos,normal,0.5251386151738694,0
dos,dos,2.6133687023306744,0
normal,normal,0.01232247718446986,0
dos,dos,1.8306505166860099,0
normal,normal,0.002894079753124242,0
r2l,normal,0.11427054292439749,0
dos,dos,0.17062385623024798,0
dos,dos,2.7544370387925903,0
dos,dos,2.244079678630315,0
r2l,normal,3.154105070664331,0
dos,dos,3.3429541115723684,0
normal,normal,0.024584758540000237,0
probe,ZERO-DAY,709.8139177409116,1
dos,dos,0.00233198570606859,0
normal,normal,0.009081190852548247,0
dos,dos,0.00233198570606859,0
normal,normal,0.0013778487853364277,0
dos,dos,2.8888470780554107,0
normal,normal,0.0026194067311721535,0
r2l,normal,0.011963805019981026,0
dos,dos,1.4510621931483503,0
dos,normal,5.433532141854729,0
r2l,normal,0.3108365101359531,0
normal,normal,0.018133266894143175,0
dos,dos,2.4279653162215467,0
dos,probe,0.4788203750739522,0
dos,normal,0.4904154962080132,0
dos,dos,2.649670217931007,0
r2l,normal,0.3108364958733664,0
normal,normal,0.025821203399230525,0
dos,normal,4.3967005251699955,0
normal,normal,0.00432141232034032,0
dos,dos,3.1621157787722667,0
r2l,normal,0.31083652720758387,0
dos,dos,2.0956549800422244,0
normal,normal,0.002300208061598695,0
dos,dos,2.6995285642575806,0
normal,normal,2.237951086550766,0
probe,probe,0.501901551466467,0
r2l,normal,3.1541047980319026,0
dos,normal,0.47868166943987056,0
probe,probe,3.331887452659606,0
normal,probe,0.4690441293858361,0
dos,dos,3.288512662478508,0
probe,probe,0.22035842886521181,0
normal,normal,0.001110544798266858,0
normal,normal,0.0032277565801157883,0
dos,dos,1.3777996444413922,0
probe,normal,0.27810921844588193,0
normal,normal,0.0013235352989122123,0
normal,normal,0.02457881003160271,0
normal,normal,0.004373446321542564,0
normal,normal,0.003717598456906407,0
probe,ZERO-DAY,457.06932781813197,1
r2l,normal,0.12385791681786433,0
normal,normal,0.0025001631498289163,0
normal,normal,0.002613515695627129,0
normal,normal,0.01233111330843782,0
r2l,normal,3.1541050751949764,0
r2l,normal,0.12243158823071061,0
normal,normal,0.003290511262433045,0
normal,normal,0.0010380062091320153,0
normal,normal,0.12244806331749974,0
dos,dos,4.297913616567678,0
dos,dos,3.6460987709586856,0
normal,normal,0.0026195722091243104,0
normal,normal,0.019792709697777685,0
r2l,normal,3.4034406413154445,0
probe,probe,0.663348268202801,0
normal,normal,0.010406813650993734,0
normal,probe,0.6010785315621127,0
normal,normal,0.024579796092929793,0
normal,normal,0.0018723254152136196,0
normal,normal,2.2274580157082586,0
dos,normal,0.4760073537981792,0
normal,normal,0.001015342704330746,0
dos,normal,0.576521797270845,0
normal,normal,0.024537100847638122,0
normal,normal,0.002592613700300932,0
dos,dos,3.164314120071097,0
dos,dos,0.448245518275068,0
dos,dos,0.20975653411249864,0
r2l,probe,0.11429235060409708,0
dos,dos,4.397693528436595,0
dos,dos,2.662764881099387,0
normal,normal,0.002643853514619361,0
probe,probe,3.182790556064518,0
normal,normal,0.00454856567897505,0
dos,dos,11.862853393935845,0
normal,normal,0.0021059477196014686,0
normal,normal,0.0031825306191791483,0
normal,normal,0.0030717545921927006,0
r2l,normal,3.154104929667165,0
dos,dos,2.970719787999048,0
normal,normal,0.060282235572349165,0
dos,dos,1.9441274299944276,0
normal,normal,0.010678480131241301,0
probe,ZERO-DAY,461.346446735946,1
r2l,normal,0.014066303694776015,0
dos,dos,2.3399409280589283,0
normal,normal,0.16365684444347006,0
normal,normal,0.0023342402177334944,0
normal,normal,0.009761455523443456,0
dos,dos,3.338974331352268,0
normal,normal,0.0027730698095261557,0
dos,dos,1.4408267452409145,0
probe,probe,2.723091762348861,0
normal,normal,0.0017128986134587333,0
normal,normal,0.00321894586069996,0
probe,probe,3.2178412969954526,0
dos,dos,2.6398584546322197,0
dos,dos,3.1303745344344165,0
probe,probe,1.3954584667847116,0
normal,normal,0.02097910112724516,0
dos,dos,1.7709810966009336,0
probe,probe,1.6674486195994593,0
normal,normal,0.00208595676013249,0
normal,probe,3.033483148071022,0
normal,normal,2.234443857727493,0
normal,normal,2.237950392398634,0
normal,normal,0.0010563868486567806,0
dos,dos,0.20975653411249864,0
dos,dos,0.5619315360216381,0
probe,probe,0.49680741009192736,0
probe,probe,10.239695376413385,0
normal,normal,0.011848860961879785,0
normal,normal,0.0028477206573698783,0
normal,normal,0.006697547199982088,0
dos,dos,0.08077925543107632,0
r2l,normal,0.11427054292439749,0
normal,normal,0.0013351954789932445,0
normal,normal,0.011771946825232924,0
probe,probe,3.25331387907215,0
normal,normal,0.016900574646836166,0
normal,normal,0.2203582975333296,0
r2l,normal,0.010241679870165632,0
dos,dos,1.5144996466825134,0
normal,normal,0.009737649451700456,0
dos,normal,0.009533178744849867,0
dos,dos,0.0028108861141807715,0
normal,normal,0.002361176793208159,0
normal,normal,0.002708056195415655,0
normal,normal,0.009738402003242802,0
normal,normal,0.0016380689709780249,0
normal,normal,0.0038698317315627576,0
r2l,normal,0.31083649939284264,0
normal,normal,0.002610368594350654,0
dos,dos,0.9428908236334661,0
dos,dos,0.6909846418115725,0
probe,normal,3.404135312145408,0
normal,normal,1.731235805763438,0
probe,normal,1.4107758183687504,0
normal,normal,0.001096260357945531,0
normal,normal,0.016612082474917102,0
r2l,normal,0.12385795043711555,0
dos,dos,4.4708120961555835,0
normal,normal,0.00281437462635991,0
normal,normal,0.00130110225813191,0
r2l,normal,0.014066303694776015,0
normal,normal,0.019894056561829097,0
dos,dos,2.71330244936807,0
normal,normal,0.009736836023659134,0
dos,normal,0.49510843204611293,0
dos,dos,2.7134611887575457,0
normal,normal,0.010883899553964274,0
normal,normal,0.0026840712862317546,0
probe,probe,0.6056691758560979,0
dos,dos,3.5226261170127935,0
normal,normal,0.021327089065370546,0
r2l,normal,0.014066303694776015,0
dos,normal,0.3205883650095304,0
normal,normal,0.011854037457668854,0
normal,normal,0.004100013215204311,0
normal,normal,0.0120841545032336,0
dos,dos,2.4072361124888624,0
dos,dos,2.770954707359802,0
normal,normal,0.01880517980876775,0
normal,normal,0.009736881079459624,0
dos,dos,2.327284006165428,0
dos,dos,3.4938717694466255,0
normal,normal,0.002342604795388245,0
normal,normal,0.0022430077241075994,0
normal,normal,0.0023574755613136934,0
normal,normal,0.06249201966745363,0
dos,normal,4.399979489514975,0
normal,normal,0.025512716922972564,0
dos,dos,7.915192165329654,0
probe,probe,3.4511977662783337,0
normal,probe,0.009734583538758942,0
r2l,normal,0.011963805019981026,0
normal,normal,0.024614941297011427,0
normal,normal,0.011971025349994724,0
normal,normal,0.0016798841174112782,0
r2l,normal,3.154105070664331,0
normal,normal,0.002109801900071581,0
dos,normal,4.476995229844305,0
probe,probe,2.3656924407279196,0
normal,normal,0.0044349606733892636,0
dos,dos,2.185735672901306,0
normal,normal,0.002330841339573436,0
dos,probe,2.7358542113279345,0
normal,normal,0.0017235779172594353,0
dos,normal,0.5117717210481347,0
normal,normal,0.012861064580233601,0
normal,normal,0.0012672295427171836,0
dos,normal,0.4757118319695075,0
dos,dos,3.033090232069257,0
dos,normal,5.433532141854729,0
normal,normal,0.2198026172821017,0
